Rua;Area sugerida;Tipo;Criterio;Latitude;Longitude
Rua Arara;ESF Canarinho;ESF;dentro do poligono;-29.895286;-51.070202
Rua Martin Pescador;ESF Canarinho;ESF;dentro do poligono;-29.894434;-51.071692
Rua Adi Soares;ESF Carlos Wilkens;ESF;dentro do poligono;-29.954841;-51.109948
Rua Alceu de L. Finger;ESF Carlos Wilkens;ESF;dentro do poligono;-29.948576;-51.111156
Rua Canaã;ESF Carlos Wilkens;ESF;dentro do poligono;-29.952161;-51.111357
Rua José L. de O. Thedy;ESF Carlos Wilkens;ESF;dentro do poligono;-29.953179;-51.11079
Rua Major Antônio Silveira de Lima;ESF Carlos Wilkens;ESF;dentro do poligono;-29.951212;-51.103958
Rua Mércio Xavier;ESF Carlos Wilkens;ESF;dentro do poligono;-29.955952;-51.109303
Rua Olegário Ramiro Beck;ESF Carlos Wilkens;ESF;dentro do poligono;-29.952554;-51.111784
Rua Osório Dihl;ESF Carlos Wilkens;ESF;dentro do poligono;-29.956107;-51.110368
Rua Pompilho C. Fialho;ESF Carlos Wilkens;ESF;dentro do poligono;-29.954242;-51.111642
Rua Rui Barbosa;ESF Carlos Wilkens;ESF;dentro do poligono;-29.957427;-51.107482
Rua Snataines;ESF Carlos Wilkens;ESF;dentro do poligono;-29.958411;-51.108062
Rua Tomás Jobim;ESF Carlos Wilkens;ESF;dentro do poligono;-29.9485;-51.110537
Rua da Várzea;ESF Carlos Wilkens;ESF;dentro do poligono;-29.947625;-51.109213
Travessa Olegário Beck;ESF Carlos Wilkens;ESF;dentro do poligono;-29.953032;-51.111216
Travessa Pompilho Fialho;ESF Carlos Wilkens;ESF;dentro do poligono;-29.954796;-51.111871
Avenida Safira;ESF Jardim Betania;ESF;dentro do poligono;-29.872787;-51.11118
Estrada Passo do Nazário;ESF Jardim Betania;ESF;fora dos poligonos (unidade mais proxima);-29.870787;-51.112705
Estrada dos Caetanos;ESF Jardim Betania;ESF;dentro do poligono;-29.877803;-51.107933
Rua 22;ESF Jardim Betania;ESF;dentro do poligono;-29.871664;-51.111715
Rua 25;ESF Jardim Betania;ESF;dentro do poligono;-29.871852;-51.111242
Rua 27;ESF Jardim Betania;ESF;dentro do poligono;-29.875961;-51.110228
Rua 28;ESF Jardim Betania;ESF;dentro do poligono;-29.873932;-51.110264
Rua 29;ESF Jardim Betania;ESF;dentro do poligono;-29.871838;-51.110351
Rua 30;ESF Jardim Betania;ESF;dentro do poligono;-29.875937;-51.109772
Rua 31;ESF Jardim Betania;ESF;dentro do poligono;-29.874056;-51.109823
Rua 32;ESF Jardim Betania;ESF;dentro do poligono;-29.871635;-51.109865
Rua 33;ESF Jardim Betania;ESF;dentro do poligono;-29.878192;-51.10926
Rua 34;ESF Jardim Betania;ESF;dentro do poligono;-29.87591;-51.109319
Rua 35;ESF Jardim Betania;ESF;dentro do poligono;-29.87391;-51.109349
Rua 36;ESF Jardim Betania;ESF;dentro do poligono;-29.871837;-51.109416
Rua 37;ESF Jardim Betania;ESF;dentro do poligono;-29.878283;-51.108776
Rua 38;ESF Jardim Betania;ESF;dentro do poligono;-29.875877;-51.10886
Rua 39;ESF Jardim Betania;ESF;dentro do poligono;-29.873903;-51.108891
